Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
GIU85216.1	GCA_026002915.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Hot spring metagenomics	sample_name	KatS3mg008	KatS3mg008	Not Available	Generic	RIKEN-BRC	Generic.1.0	2022-10-07 0:00:00	Contig	derived from metagenome,genus undefined	PacBio Sequel II	1607089	66	Not Available	2437182	GCA_026002915.1	Acidimicrobiales bacterium	2201156	2.437182	cd05931	FAAL	1	#FFFFFF
WP_153759789.1	GCF_009650215.1	Actinomarinicola tropica	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Iamiaceae; Actinomarinicola	Actinomarinicola tropica strain:SCSIO 58843 Genome sequencing	strain	SCSIO 58843	Microbe sample from Actinomarinicola tropica	Not Available	Microbe, viral or environmental	south china sea institute of oceanology	Microbe.1.0	2019-11-05 0:00:00	Complete Genome	Not Available	Illumina HiSeq	2695857	72.5	443.0x	3715454	GCF_009650215.1	Actinomarinicola tropica	2789776	3.715454	cd05931	FAAL	1	#FFFFFF
MBK5223723.1	GCA_016649895.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Reconstruction of metagenome-assembled genomes from microorganisms in ancient Siberian permafrost	collection_date	2017-08	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.sediment	Princeton University	MIMAG.sediment.6.0	2021-01-07 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	2509699	70	7.4x	3593762	GCA_016649895.1	Acidimicrobiia bacterium	2080302	3.593762	cd05931	FAAL	1	#FFFFFF
HAS10758.1	GCA_003476595.1	Acidimicrobiaceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae	Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.	isolate	UBA9382	Uncultivated Acidimicrobiaceae bacterium UBA9382 genome recovered from ERX556314	Not Available	Microbe, viral or environmental	University of Queensland	Microbe.1.0	2017-11-13 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq 2000	2928433	72	11.0x	4242492	GCA_003476595.1	Acidimicrobiaceae bacterium	2024894	4.242492	cd05931	FAAL	1	#FFFFFF
MSO87859.1	GCA_009694375.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Lake Baikal Deep Metagenome	isolation_source	freshwater	Microtrichales bacterium Baikal-deep-G25	Not Available	Microbe, viral or environmental	Evolutionary Genomics Group	Microbe.1.0	2019-11-24 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1704144	66	10.0x	2577631	GCA_009694375.1	Acidimicrobiia bacterium	2080302	2.577631	cd05931	FAAL	1	#FFFFFF
MBO2502924.1	GCA_017577565.1	Thermoanaerobacterales bacterium	Bacteria; Bacillota; Clostridia; Thermoanaerobacterales	Microbial diversity studies in the Sao Paulo Zoo Composting operation	collection_date	2013	RG19 Thermoanaerobacterales recovered from ZC4 composting metagenome	Not Available	Microbe, viral or environmental	Instituto de Quimica	Microbe.1.0	2018-07-01 0:00:00	Contig	derived from metagenome,genus undefined	Illumina MiSeq	2585718	75.5	6.0x	3434089	GCA_017577565.1	Thermoanaerobacterales bacterium	2304039	3.434089	cd05931	FAAL	1	#FFFFFF
MCC5951940.1	GCA_020832495.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Soda lake innocuated bioreactors	collection_date	2018-08	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.microbial	University of Calgary	MIMAG.microbial.6.0	2021-10-01 0:50:52	Contig	derived from metagenome,genus undefined	Illumina NextSeq	3113652	70	28.9x	4461226	GCA_020832495.1	Acidimicrobiia bacterium	2080302	4.461226	cd05931	FAAL	1	#FFFFFF
MCB1251560.1	GCA_020439205.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	activated sludge metagenome Raw sequence reads	isolation_source	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	ACTI_24	Not Available	Microbe, viral or environmental	The University Hong Kong	Microbe.1.0	2021-10-14 6:39:56	Scaffold	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq	2514339	72	59.0x	3562279	GCA_020439205.1	Acidimicrobiales bacterium	2201156	3.562279	cd05931	FAAL	1	#FFFFFF
WP_208028162.1	GCF_014805525.1	Rhabdothermincola sediminis	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Iamiaceae; Rhabdothermincola	Rhabdothermincola sediminis strain:SYSU G02662 Genome sequencing and assembly	strain	SYSU G02662	Microbe sample from Rhabdothermincola sediminis	Not Available	Microbe, viral or environmental	Sun Yat-sen University	Microbe.1.0	2020-07-06 0:00:00	Contig	Not Available	Illumina HiSeq	2323306	70.5	100.0x	3293621	GCF_014805525.1	Rhabdothermincola sediminis	2751370	3.293621	cd05931	FAAL	1	#FFFFFF
MBK9181060.1	GCA_016716005.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Activated sludge metagenome Genome sequencing and assembly	collection_date	9/3/2018	MIMAG Metagenome-assembled Genome sample from Acidimicrobiales bacterium	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome,genus undefined	Oxford Nanopore PromethION	2797286	74	16.2x	3786270	GCA_016716005.1	Acidimicrobiales bacterium	2201156	3.78627	cd05931	FAAL	1	#FFFFFF
NBU55915.1	GCA_027729625.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	Brackish Caspian Sea Metagenome	collection_date	10/1/2013	MIMAG Metagenome-assembled Genome sample from Actinomycetota bacterium	Not Available	MIMAG.water	SLU	MIMAG.water.6.0	2022-12-13 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1240361	62.5	10.0x	1989430	GCA_027729625.1	Actinomycetota bacterium	2900548	1.98943	cd05931	FAAL	1	#FFFFFF
MSX81141.1	GCA_903220215.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	ENA-CHECKLIST	ERC000024	Metagenome-assembled genome UFOp-RH-18aug17-109	SRA	Generic	EBI	Generic.1.0	2020-05-10 0:00:00	Contig	genus undefined,metagenome	Not Available	1700036	66	10.0x	2575255	GCA_903220215.1	freshwater metagenome	449393	2.575255	cd05931	FAAL	1	#FFFFFF
MSZ05199.1	GCA_903219845.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	ENA-CHECKLIST	ERC000024	Metagenome-assembled genome UFOp-RH-15aug16-100	SRA	Generic	EBI	Generic.1.0	2020-05-10 0:00:00	Contig	genus undefined,metagenome	Not Available	1848530	66	10.0x	2805856	GCA_903219845.1	freshwater metagenome	449393	2.805856	cd05931	FAAL	1	#FFFFFF
MBI4883148.1	GCA_016213665.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Metagenomes from Northern California groundwater	collection_date	11/19/2017	SR2-17_Biohub_180515_Actinobacteria_64_16	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2020-12-23 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	1899123	64	64.1x	2962632	GCA_016213665.1	Actinomycetota bacterium	2900548	2.962632	cd05931	FAAL	1	#FFFFFF
NQY55579.1	GCA_013213745.1	Ilumatobacteraceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae	ALOHA Deep Trap Sequencing	collection_date	2014	DT-Ilumatobacteraceae-1	Not Available	MIMAG.water	Not Available	MIMAG.water.6.0	2020-06-04 18:38:19	Contig	derived from metagenome,genus undefined	Illumina NextSeq	2296235	65	0.5x	3535589	GCA_013213745.1	Ilumatobacteraceae bacterium	2497619	3.535589	cd05931	FAAL	1	#FFFFFF
TVR27924.1	GCA_007693335.1	Ilumatobacter sp.	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Ilumatobacteraceae; Ilumatobacter	Soda lake innocuated bioreactors	collection_date	5/26/2015	Microbe sample from Ilumatobacter sp.	Not Available	Microbe, viral or environmental	University of Calgary	Microbe.1.0	2019-08-02 0:00:00	Contig	derived from metagenome	Illumina NextSeq	2441347	69	36.0x	3526340	GCA_007693335.1	Ilumatobacter sp.	1967498	3.52634	cd05931	FAAL	1	#FFFFFF
NBU95030.1	GCA_009923855.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Chattahoochee River Iterative Subtractive Binning	isolate	WB4_4_347	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Georgia Institute of Technology	Microbe.1.0	2020-01-01 0:00:00	Contig	derived from metagenome,genus undefined	Illumina	1373764	64	13.6x	2141395	GCA_009923855.1	Actinomycetota bacterium	2900548	2.141395	cd05931	FAAL	1	#FFFFFF
MBF28335.1	GCA_002714225.1	Acidimicrobiaceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae	The reconstruction of draft metagenome-assembled genomes from the global oceans.	env_broad_scale	marine pelagic biome	2,631 Draft Metagenome-Assembled Genomes from the Global Oceans	Not Available	Microbe, viral or environmental	University of Southern California	Microbe.1.0	2017-09-07 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	755836	56.5	Not Available	1336795	GCA_002714225.1	Acidimicrobiaceae bacterium	2024894	1.336795	cd05931	FAAL	1	#FFFFFF
MAN33915.1	GCA_002693375.1	Acidimicrobiaceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae	The reconstruction of draft metagenome-assembled genomes from the global oceans.	env_broad_scale	marine pelagic biome	2,631 Draft Metagenome-Assembled Genomes from the Global Oceans	Not Available	Microbe, viral or environmental	University of Southern California	Microbe.1.0	2017-09-07 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	1212076	56.5	Not Available	2147286	GCA_002693375.1	Acidimicrobiaceae bacterium	2024894	2.147286	cd05931	FAAL	1	#FFFFFF
HED23793.1	GCA_011048735.1	Bacillota bacterium	Bacteria; Bacillota	Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments	isolate	SpSt-1218	Microbe sample from Bacillota bacterium	Not Available	Microbe, viral or environmental	The University of Hong Kong	Microbe.1.0	2019-01-01 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq 2500	728801	51	10.0x	1433248	GCA_011048735.1	Bacillota bacterium	1879010	1.433248	cd05931	FAAL	1	#FFFFFF
OPL10849.1	GCA_002030005.1	Firmicutes bacterium ML8_F2	Bacteria; Bacillota	Mahoney Lake water and sediment samples	metagenomic	TRUE	Metagenome or environmental sample from Firmicutes bacterium ML8_F2	Not Available	Metagenome or environmental	University of Cincinnati	Metagenome.environmental.1.0	2016-03-01 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	1405902	46.5	12.0x	3019424	GCA_002030005.1	Firmicutes bacterium ML8_F2	1775675	3.019424	cd05931	FAAL	1	#FFFFFF
MBW6463391.1	GCA_033549225.1	Bacillota bacterium	Bacteria; Bacillota	Metagenomic sequencing of enrishment cultures from Taman mud volcano B4	isolation_source	terrestrial mud volcano	Microbe sample from Bacillota bacterium	Not Available	Microbe, viral or environmental	Research Center of Biotechnology RAS	Microbe.1.0	2023-11-01 0:00:00	Scaffold	derived from metagenome,genus undefined	BGI	1139065	45	45824228.0x	2541734	GCA_033549225.1	Bacillota bacterium	1879010	2.541734	cd05931	FAAL	1	#FFFFFF
HED24753.1	GCA_011048735.1	Bacillota bacterium	Bacteria; Bacillota	Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments	isolate	SpSt-1218	Microbe sample from Bacillota bacterium	Not Available	Microbe, viral or environmental	The University of Hong Kong	Microbe.1.0	2019-01-01 0:00:00	Contig	derived from metagenome,fragmented assembly,genus undefined	Illumina HiSeq 2500	728801	51	10.0x	1433248	GCA_011048735.1	Bacillota bacterium	1879010	1.433248	cd05931	FAAL	1	#FFFFFF
NLM23231.1	GCA_012521155.1	Bacillota bacterium	Bacteria; Bacillota	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG0523	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500	1283675	58	2521.1x	2206555	GCA_012521155.1	Bacillota bacterium	1879010	2.206555	cd05931	FAAL	1	#FFFFFF
NLZ32516.1	GCA_035402165.1	Bacillota bacterium	Bacteria; Bacillota	Genome-Centric analyses of 165 metagenomes show the prevalence of antimicrobial resistance in activated sludge and wastewater treatments plants	isolate	AMR_MDS_3915	Not Available	Not Available	MIMAG.wastewater	Helmholtz Center for Environmental Research -UFZ	MIMAG.wastewater.6.0	2023-06-13 0:50:42	Scaffold	derived from metagenome,genus undefined	Illumina MiSeq	1301761	59.5	Not Available	2185632	GCA_035402165.1	Bacillota bacterium	1879010	2.185632	cd05931	FAAL	1	#FFFFFF
NLA11451.1	GCA_012510325.1	Bacillota bacterium	Bacteria; Bacillota	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG1196	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500	1251140	57.5	3463.6x	2182814	GCA_012510325.1	Bacillota bacterium	1879010	2.182814	cd05931	FAAL	1	#FFFFFF
HHW75234.1	GCA_012840855.1	Bacillota bacterium	Bacteria; Bacillota	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG1057	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500	1072586	57	2169.4x	1879459	GCA_012840855.1	Bacillota bacterium	1879010	1.879459	cd05931	FAAL	1	#FFFFFF
NLA04840.1	GCA_012510305.1	Bacillota bacterium	Bacteria; Bacillota	Microbiome of anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	isolation_source	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	MIMAG1194	Not Available	MIMAG	Technical University of Denmark	MIMAG.6.0	2020-01-21 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500	1103094	57.5	1389.9x	1912691	GCA_012510305.1	Bacillota bacterium	1879010	1.912691	cd05931	FAAL	1	#FFFFFF
MBM3683986.1	GCA_016870475.1	Actinomycetota bacterium	Bacteria; Actinomycetota	Lake Tanganyika Metagenome-Assembled Genomes Metagenome	isolate	K_Offshore_40m_m2_105	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	University of Wisconsin - Madison	Microbe.1.0	2021-02-12 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2500-1TB	1750641	71.5	635.1x	2452062	GCA_016870475.1	Actinomycetota bacterium	2900548	2.452062	cd05931	FAAL	1	#FFFFFF
MPY93045.1	GCA_009377505.1	Acidimicrobiia bacterium	Bacteria; Actinomycetota; Acidimicrobiia	LIFE INSIDE A DINOSAUR BONE: A THRIVING MICROBIOME	collection_date	2016-07	MIMAG Metagenome-assembled Genome sample from Acidimicrobiia bacterium	Not Available	MIMAG.sediment	Princeton University	MIMAG.sediment.6.0	2019-09-24 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	3898203	73	1.7x	5347219	GCA_009377505.1	Acidimicrobiia bacterium	2080302	5.347219	cd05931	FAAL	1	#FFFFFF
MCP3910209.1	GCA_024225275.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Foraminiferal nitrate respiration in oxygen minimum zones - past and present - Metagenomics	host	Bolivinella seminuda	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Kiel University	Microbe.1.0	2022-07-15 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3197459	66.5	214.0x	4807910	GCA_024225275.1	Actinomycetes bacterium	1883427	4.80791	cd05931	FAAL	1	#FFFFFF
MCP5027032.1	GCA_024228435.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Foraminiferal nitrate respiration in oxygen minimum zones - past and present - Metagenomics	host	Valvulineria inflata	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Kiel University	Microbe.1.0	2022-07-15 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3698420	67.5	83.0x	5489117	GCA_024228435.1	Actinomycetes bacterium	1883427	5.489117	cd05931	FAAL	1	#FFFFFF
MCP5031214.1	GCA_024227975.1	Actinomycetes bacterium	Bacteria; Actinomycetota; Actinomycetes	Foraminiferal nitrate respiration in oxygen minimum zones - past and present - Metagenomics	host	Valvulineria inflata	Microbe sample from Actinomycetes bacterium	Not Available	Microbe, viral or environmental	Kiel University	Microbe.1.0	2022-07-15 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3794323	63.5	199.0x	5965865	GCA_024227975.1	Actinomycetes bacterium	1883427	5.965865	cd05931	FAAL	1	#FFFFFF
NNE95287.1	GCA_013003325.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Middle Park Beach, Port Phillip Bay Permeable Sediment Metagenomes and 16S rRNA amplicon sequences	isolate	SS_bin_31	MIMAG Metagenome-assembled Genome sample from Acidimicrobiales bacterium	Not Available	MIMAG.sediment	Monash University	MIMAG.sediment.6.0	2020-03-06 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NextSeq	1863814	64	10.9x	2902324	GCA_013003325.1	Acidimicrobiales bacterium	2201156	2.902324	cd05931	FAAL	1	#FFFFFF
NNF56385.1	GCA_013003535.1	Acidimicrobiales bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales	Middle Park Beach, Port Phillip Bay Permeable Sediment Metagenomes and 16S rRNA amplicon sequences	isolate	SS_bin_9	MIMAG Metagenome-assembled Genome sample from Acidimicrobiales bacterium	Not Available	MIMAG.sediment	Monash University	MIMAG.sediment.6.0	2020-03-06 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NextSeq	2440589	61	18.9x	3995572	GCA_013003535.1	Acidimicrobiales bacterium	2201156	3.995572	cd05931	FAAL	1	#FFFFFF
MCC6227043.1	GCA_020845705.1	Microthrixaceae bacterium	Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Microthrixaceae	Disturbance-based management of ecosystem services and disservices in partial nitritation anammox biofilms	collection_date	11/11/2015	Uncultivated Microthrixaceae bacterium SJ36	Not Available	MIMAG.wastewater	University of Gothenburg	MIMAG.wastewater.6.0	2021-07-05 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	1938143	67	13.0x	2885649	GCA_020845705.1	Microthrixaceae bacterium	2497627	2.885649	cd05931	FAAL	1	#FFFFFF
KAA0235983.1	GCA_003577145.1	Actinomycetota bacterium	Bacteria; Actinomycetota	bioreactor sludge metagenome Genome sequencing and assembly	isolation_source	lab-scale wastewater treatment bioreactor	Microbe sample from Actinobacteria bacterium ATN2	Not Available	Microbe, viral or environmental	Peking University	Microbe.1.0	2018-09-21 0:00:00	Scaffold	derived from metagenome,genus undefined	Illumina HiSeq	2724165	67	10.0x	4051767	GCA_003577145.1	Acidobacteriota bacterium	1978231	4.051767	cd05931	FAAL	1	#FFFFFF
